product_id,product_name,category,brand,price
1001,Lite Laptop,Electronics,Sony,6710
1002,Ultra Laptop,Electronics,Sony,29580
1003,Lite Laptop,Electronics,Sony,84705
1004,Ultra Laptop,Electronics,Samsung,65506
1005,Ultra Laptop,Electronics,HP,86155
1006,Pro Laptop,Electronics,Boat,90075
1007,Max Laptop,Electronics,HP,45210
1008,Pro Laptop,Electronics,Dell,65255
1009,Max Laptop,Electronics,Dell,97934
1010,Max Laptop,Electronics,Samsung,16467
1011,Ultra Laptop,Electronics,Boat,41405
1012,Max Laptop,Electronics,Sony,65063
1013,Pro Phone,Electronics,Samsung,26132
1014,Lite Phone,Electronics,Dell,67750
1015,Max Phone,Electronics,Apple,20020
1016,Max Phone,Electronics,Sony,4705
1017,Lite Phone,Electronics,Sony,82099
1018,Lite Phone,Electronics,HP,40586
1019,Ultra Phone,Electronics,Apple,87979
1020,Max Phone,Electronics,Apple,66374
1021,Max Phone,Electronics,Boat,91571
1022,Lite Phone,Electronics,HP,49244
1023,Max Phone,Electronics,Sony,79009
1024,Pro Phone,Electronics,Apple,55661
1025,Max Monitor,Electronics,Samsung,3802
1026,Pro Monitor,Electronics,Boat,20805
1027,Ultra Monitor,Electronics,Sony,86816
1028,Max Monitor,Electronics,Sony,78033
1029,Pro Monitor,Electronics,Dell,35572
1030,Max Monitor,Electronics,Apple,32195
1031,Pro Monitor,Electronics,HP,49229
1032,Max Monitor,Electronics,Sony,13551
1033,Pro Monitor,Electronics,HP,37464
1034,Max Monitor,Electronics,HP,46793
1035,Ultra Monitor,Electronics,Boat,42446
1036,Max Monitor,Electronics,Dell,14173
1037,Lite Tablet,Electronics,Samsung,63447
1038,Ultra Tablet,Electronics,Apple,27953
1039,Max Tablet,Electronics,Dell,26401
1040,Lite Tablet,Electronics,Sony,14576
1041,Ultra Tablet,Electronics,HP,28361
1042,Lite Tablet,Electronics,Samsung,73803
1043,Max Tablet,Electronics,HP,73480
1044,Lite Tablet,Electronics,Apple,46470
1045,Ultra Tablet,Electronics,Boat,85212
1046,Pro Tablet,Electronics,Samsung,97871
1047,Pro Tablet,Electronics,Samsung,88269
1048,Lite Tablet,Electronics,HP,13046
1049,Pro TV,Electronics,Boat,61201
1050,Max TV,Electronics,HP,92706
1051,Ultra TV,Electronics,Boat,29417
1052,Lite TV,Electronics,Boat,36313
1053,Max TV,Electronics,Samsung,85047
1054,Pro TV,Electronics,Boat,2312
1055,Lite TV,Electronics,Apple,96228
1056,Pro TV,Electronics,Sony,75231
1057,Pro TV,Electronics,Apple,25214
1058,Lite TV,Electronics,Apple,46729
1059,Pro TV,Electronics,Boat,82895
1060,Pro TV,Electronics,Samsung,38244
1061,Max Keyboard,Accessories,Apple,41758
1062,Pro Keyboard,Accessories,Apple,84951
1063,Pro Keyboard,Accessories,Boat,96778
1064,Pro Keyboard,Accessories,Apple,10902
1065,Lite Keyboard,Accessories,Sony,28609
1066,Ultra Keyboard,Accessories,Sony,35157
1067,Lite Keyboard,Accessories,Apple,45044
1068,Pro Keyboard,Accessories,Samsung,62062
1069,Ultra Keyboard,Accessories,HP,98341
1070,Pro Keyboard,Accessories,Apple,6444
1071,Max Keyboard,Accessories,Dell,93846
1072,Max Keyboard,Accessories,Dell,17893
1073,Max Mouse,Accessories,Samsung,59677
1074,Ultra Mouse,Accessories,HP,14247
1075,Pro Mouse,Accessories,Apple,13028
1076,Max Mouse,Accessories,Boat,53562
1077,Max Mouse,Accessories,Sony,64608
1078,Lite Mouse,Accessories,Apple,70985
1079,Max Mouse,Accessories,Apple,76270
1080,Lite Mouse,Accessories,Sony,38601
1081,Pro Mouse,Accessories,Boat,39088
1082,Ultra Mouse,Accessories,Apple,19284
1083,Max Mouse,Accessories,Dell,85408
1084,Max Mouse,Accessories,Dell,71417
1085,Max Headphones,Accessories,Boat,65923
1086,Pro Headphones,Accessories,Boat,75513
1087,Lite Headphones,Accessories,Apple,93643
1088,Pro Headphones,Accessories,HP,85079
